공연명,장르,공연시설
오늘부터 맑음,연극,한옥마을아트홀 
여우야 여우야 뭐하니?,연극,우리소극장 [의정부] 
이솝이 들려주는 세가지 이야기,뮤지컬,롯데마트 [월드컵] 
벌룬 매직쇼,서커스/마술,아띠홀 
"장사익 소리판: 꽃을 준다, 나에게",한국음악(국악),제주문예회관 
라면에 파송송,뮤지컬,대학로단막극장 
주말재즈클럽 (6월),대중음악,파닥파닥클럽 
"마주페스타, 노래 주머니",연극,민들레연극마을 
지구야사랑해,서커스/마술,초록마술극장 
알라딘과 요술램프,뮤지컬,레미어린이극장 [금천] 
브레멘 음악대,뮤지컬,상상플레이스 여순광점(여수 웅천 트리마제벨마레 2305호) 
"극적공동체 고도의 들린다락, 옥상정원",연극,스페이스 고도 [부산 중구] 
흉터,연극,홍대 씨어터 윤 
장화신은 고양이,뮤지컬,롯데마트 어린이소극장 [구미] 
피아니스트 게랄드 파우트 마스터클래스,서양음악(클래식),스타인웨이 갤러리 서울 
초조한 마음,연극,소극장 고도 
"창작 ing 두 번째, 연희집단 The 광대: 52Hz",한국음악(국악),국립정동극장 세실 (구.세실극장) 
기분을 말해봐,뮤지컬,김포한강괜찮은홀 
"이야기가 있는 음악회 Ep.1, 토끼와 거북이",서양음악(클래식),하우스오브베르 
늦은 봄날,뮤지컬,엠스테이지 (구.인사아트홀) 
로스트,연극,실험무대702 
아이헤이트커피,연극,인터미션 
부산 클래식 위켄드,서양음악(클래식),필슈파스 [부산진구] 
"안산시립국악단 기획연주회, 목요보노음악회",한국음악(국악),보노마루 
"제46회 서울연극제, 산난기",연극,연우소극장 
흥부놀부,뮤지컬,조이마루아트홀 
장범준 금토일 공연: 흐린날의 벚꽃엔딩,대중음악,LG아트센터 서울 
키즈매직쇼,서커스/마술,에이페이지 
마술사 자미의 벌룬쇼 풍선마술,서커스/마술,상상플레이스 여순광점(여수 웅천 트리마제벨마레 2305호) 
인어의 손,연극,소극장 혜화당 (구. 까망소극장) 
스파이엑스,뮤지컬,루시드아트홀 
경기국악원 국악소풍: 꼬마장승탈출기,한국음악(국악),경기아트센터 경기국악원 
혹부리 영감,연극,대백프라자 
로미오와 줄리엣,연극,연희예술극장 
"일칸토오페라앙상블: 일칸토 다시, 봄",서양음악(클래식),대전평생학습관 
7080 낭만 극장쇼,대중음악,용인문화예술원 
냉장고나라의 싱싱마을 코코몽: 동화 속 모험,뮤지컬,상상나라극장 
금도끼 은도끼,뮤지컬,송도 건원테크노큐브 
꿈꾸는 허수아비,뮤지컬,바인그룹 빌딩 
신데렐라,뮤지컬,신세계 문화홀 8층 [대구] 
헤어지는 기쁨,연극,이수아트홀 [대전] 
헨젤과 그레텔,뮤지컬,창원과학체험관 
"신진연극인페스티벌 10, 낭독공연",연극,보광극장 
개와 고양이의 시간,뮤지컬,굿씨어터 
룸메이트: 스파이크,연극,아신극장 
세상에 없는 이노래가,뮤지컬,아트포레스트 아트홀 
차미,뮤지컬,티오엠씨어터(구. 문화공간필링) 
행복,연극,나비아트홀 
"두산인문극장: 지역, 엔들링스 Endlings",연극,두산아트센터 
보이체크,연극,소극장 빨간객석 
첼리스트 이명로 하우스 콘서트: 보이지 않는 정상을 향해,서양음악(클래식),어연히하우스 
셜록홈즈,연극,가로수극장 [창원] 
오즈의 마법사,뮤지컬,소나무예술극장 
폭싹빠졌수다 & 지브리 & 디즈니 섀도우콘서트,서양음악(클래식),알레스 아트(Alles-Art) 
지브리 & 디즈니 섀도우콘서트,서양음악(클래식),알레스 아트(Alles-Art) 
두근두근 알고리즘,연극,소극장 플랫폼74 
와일드 그레이,뮤지컬,링크아트센터 
혹부리 할아버지,뮤지컬,레미어린이극장 [광주수완] 
런투패밀리,연극,문화예술전용극장CT 
양준일 US 콘서트,대중음악,얼라이브홀(구. 크랙홀) 
삼익 자일러 아티스트 시리즈,서양음악(클래식),엠팟홀 (구. 삼익아트홀) 
단심,한국음악(국악),국립정동극장 
태일,연극,티오엠씨어터(구. 문화공간필링) 
써니텐,뮤지컬,런던스테이지 
폭풍우 치는 밤에,뮤지컬,올림픽공원 
인어공주,뮤지컬,광교레이크아트홀 
하나뿐인 내편,연극,상상플레이스 여순광점(여수 웅천 트리마제벨마레 2305호) 
고양이 해결사 깜냥,뮤지컬,KT&G 상상마당 대치아트홀 
팥죽할멈과 호랑이,뮤지컬,뉴코아소극장 [부천] 
팬텀,뮤지컬,세종문화회관 
"어연히 하우스 콘서트, 30년전의 나에게",서양음악(클래식),어연히하우스 
CHROMA BOOTLEG SHOW II (PARTY SET),뮤지컬,파라다이스시티 
친구만들기 대작전,연극,현대백화점 문화홀 [압구정] 
완창무대: 소리 판,한국음악(국악),국립민속국악원 
"1920, 랩소디 인 클래식",서양음악(클래식),콘서트홀 나누 
"어연히 하우스 콘서트, 꺾이지 않는 꽃: 절부입화",서양음악(클래식),어연히하우스 
"마술과 함께하는 어린이 뮤지컬, 우리 엄마가 최고야!",뮤지컬,정심아트홀 
어차피 패밀리,뮤지컬,아트홀 마당 
마술사 제이티의 과학실험실,서커스/마술,인천어린이과학관 
"캬바레성수, 뮤지컬다이닝: Chapter2-LOVE IN CINEMA",뮤지컬,캬바레성수 
신바람 삼대,연극,아트플러스씨어터 
킬링시저,연극,서강대 메리홀 
더 매직 파티,서커스/마술,더매직파티 [대구] 
가야금 연주자 이준의 하루,한국음악(국악),야기스튜디오 
"키즈인비또, 키즈 클래식 다이어리 시즌2",서양음악(클래식),용인문화예술원 
오즈의 마법사,뮤지컬,달밤엔씨어터 
"포천반월아트홀 토요상설, 포천시립민속예술단",한국음악(국악),포천반월아트홀 
구텐버그,뮤지컬,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터) 
백작,뮤지컬,링크아트센터드림 
죽여주는 이야기,연극,송죽씨어터 
나의 연애코치,뮤지컬,명륜아트홀 
리턴,연극,올래홀 
사랑은 비를 타고,뮤지컬,백암아트홀 
마술 같은 하루: 부모님 에디션,서커스/마술,문엔트리 
우연히 행복해지다,뮤지컬,초콜릿팩토리 
헝키쇼 (HUNKY SHOW),뮤지컬,스타스테이지 
이금희와 함께하는 더 클래식 하우스 콘서트,복합,용인시문화예술회관 
마술요정 찌니의 버블매직쇼,서커스/마술,더퍼포머 씨어터(라스플로레스) 
신바람 삼대,연극,소명아트홀 (구.메가폴리스아트홀) 
광무대 목요풍류,한국음악(국악),전통공연창작마루 광무대 
벚꽃동산,연극,소극장 울림터 (극단 메카네) 
맥거핀이야기,연극,맥거핀 서교 
"포천반월아트홀 토요상설, 포천시립소년소녀합창단",서양음악(클래식),포천반월아트홀 
"포천반월아트홀 토요상설, 포천시립극단",연극,포천반월아트홀 
알라딘,뮤지컬,한국방송회관 코바코홀 (구. 브로드홀) 
차와 이야기가 있는 국악콘서트: 다담,한국음악(국악),국립민속국악원 
시간을 파는 상점,연극,여우별아트홀 
행오버,연극,작은극장 다함 
소란스러운 나의 서림에서,뮤지컬,et theatre 1 (구. 눈빛극장) 
INFINITY FLYING (인피니티 플라잉),뮤지컬,경주세계문화엑스포 
잠 들지 못하는 밤,연극,디너씨어터 
디라이트 기타 페스티벌,서양음악(클래식),디라이트 아트 홀 
택시안에서,연극,기분좋은극장 [상무지구] 
불편한 편의점,연극,한라아트홀 
이매지너리,뮤지컬,링크아트센터드림 
와인et멜로디,대중음악,선농단역사문화관 
매디슨 카운티의 다리,뮤지컬,광림아트센터 
6시 퇴근,뮤지컬,링크아트센터드림 
뽀로로 포털의 세계,뮤지컬,디큐브링크아트센터 
보물찾기,연극,올림아트센터 (구.스튜디오76) 
알사탕,뮤지컬,더 서울라이티움 (갤러리아포레) 
"부여군충남국악단, 토요상설 국악공연",한국음악(국악),부여국악의전당 
이솝이야기,뮤지컬,예스24 스테이지(구. DCF대명문화공장) 
붉은 정원,뮤지컬,링크아트센터드림 
놀부전,연극,경복궁아트홀 
설민석의 한국사 대모험: 안중근,뮤지컬,한전아트센터 
우리가 사랑한 한국 드라마 OST 콘서트 1,서양음악(클래식),스테이지엠 (STAGE M) (구.프란츠홀) 
반짝 반짝 라푼젤,뮤지컬,달밤엔씨어터 
환상씨네 사탕가게,뮤지컬,소다아트홀 
헤다 가블러,연극,LG아트센터 서울 
딜리버리,연극,BNK부산은행 조은극장 
컨택트,뮤지컬,극장 온 (ON) (구.CJ아지트) 
스텝: 춤추는 발자국,뮤지컬,명보아트홀 
콧구멍을 후비면,뮤지컬,잡월드 나래울극장 
써니텐,뮤지컬,JTN 아트홀(구. 대학로예술마당) 
8시 클래식 울주 (시즌권),서양음악(클래식),울주문화예술회관 
코미디 매직쇼,서커스/마술,미리내 마술극단 [송도] 
"클래식 기획공연, Focus on Sound",서양음악(클래식),야기스튜디오 
탐정 케이: 수인마을 전설,뮤지컬,큐씨어터(구. 수상한흥신소전용관) 
흉터,연극,지즐소극장 
너의 결혼식,뮤지컬,유니플렉스 
빨간열매,연극,용인어린이상상의숲 
빨래: 20년의 시간 30번째 무대,뮤지컬,유니플렉스 
"세계아트쇼, 사천서커스",서커스/마술,사천세계아트서커스 (사천세계문화컨텐츠) 
멈춰진 계절,연극,달밤엔씨어터 
토요국악동화,한국음악(국악),국립국악원 
늘근도둑 이야기,연극,BNK부산은행 조은극장 
세비야의 이발사,서양음악(클래식),유니플렉스 
수성아트피아 마티네콘서트,서양음악(클래식),수성아트피아 
폰티첼로의 첼로를 좋아하세요?,서양음악(클래식),스테이지엠 (STAGE M) (구.프란츠홀) 
노베첸토,연극,예스24 스테이지(구. DCF대명문화공장) 
푸에르자 부르타: 아벤,뮤지컬,성수문화예술마당(구.삼표 레미콘부지) 
장수탕 선녀님,뮤지컬,더 서울라이티움 (갤러리아포레) 
니진스키,뮤지컬,예스24아트원(구.대학로아트원씨어터) 
도리안 그레이,뮤지컬,홍익대 대학로 아트센터 
남사친 여사친,연극,한해랑아트홀 
마티네 콘서트,서양음악(클래식),성남아트센터 
"다담: 차, 이야기, 우리음악으로 행복해지는 시간",한국음악(국악),국립국악원 
라흐 헤스트,뮤지컬,예스24 스테이지(구. DCF대명문화공장) 
"연극열전10, 프라이드",연극,예스24아트원(구.대학로아트원씨어터) 
"화성시 문화의 날, 렉처콘서트 PART1",서양음악(클래식),반석아트홀 (동탄복합문화센터) 
ACC 브런치콘서트 (패키지),복합,국립아시아문화전당 
NEW 사랑과 전쟁,연극,아트하우스 
"언빌리버블쇼, 매직카바레",서커스/마술,송도 건원테크노큐브 
"어서 오세요, 휴남동 서점입니다",뮤지컬,루미나아트홀 (구.시온아트홀) 
동춘서커스,서커스/마술,동춘서커스 빅탑극장 
"서울시극단, 유령",연극,세종문화회관 
"서울시뮤지컬단, 더 퍼스트 그레잇쇼",뮤지컬,세종문화회관 
카포네 트릴로지,연극,홍익대 대학로 아트센터 
"해설이 있는 음악회, 서클스 (시즌권)",서양음악(클래식),서울주문화센터 
"마하랑 떠나요, 수도SONG 세계여행",뮤지컬,한국항공대학교 
라움 마티네 콘서트,서양음악(클래식),소셜베뉴 라움 
코미디 매직쇼,서커스/마술,매직앤조이 [광교] 
베이커리 매직쇼,서커스/마술,성남소극장 
성남시립교향악단 정기연주회 시즌권,서양음악(클래식),성남아트센터 
"어서 오세요, 휴남동 서점입니다",뮤지컬,KNN시어터 
토요키즈클래식 (상반기),서양음악(클래식),용인포은아트홀 
수상한 미용실 (앵콜),연극,씨어터 벙커 
"삼청각 수요상설공연, 三淸: 삼청",한국음악(국악),삼청각 
두 여자,연극,하모니아 아트홀 
"마법의정원, 어린이 마술쇼 & 벌룬쇼 & 마리오네트",서커스/마술,마법의정원 [화성] 
스테이지 M 신년 음악회: 캔들데이 콘서트,서양음악(클래식),스테이지엠 (STAGE M) (구.프란츠홀) 
토요명품,한국음악(국악),국립국악원 
오르간 오딧세이,서양음악(클래식),롯데콘서트홀 
두여자,연극,피카소소극장 
라이어 1탄,연극,상명아트홀 
마술그리스신화,서커스/마술,브이씨어터 
급식왕: 급식이 사라졌다,연극,스케치홀 (구.소극장 선물 1관) 
지브리와 사랑에 빠지다: 지브리 영화 음악 콘서트,서양음악(클래식),스테이지엠 (STAGE M) (구.프란츠홀) 
애니메이션 뮤직 콘서트: 우리가 사랑한 디즈니 OST 콘서트,서양음악(클래식),스테이지엠 (STAGE M) (구.프란츠홀) 
매직 사이언스 콘서트,서커스/마술,명륜아트홀 
"캬바레성수, 뮤지컬다이닝: Chapter1-Great Hits",뮤지컬,캬바레성수 
보이스 오브 햄릿,뮤지컬,국립극장 
원테이블 매직,서커스/마술,스튜디오 아르카나 
드립소년단,연극,스케치홀 (구.소극장 선물 1관) 
사랑해 엄마,연극,아트하우스 
터치 파이브 (TOUCH FIVE),뮤지컬,TOUCH FIVE 전용관 
담소,서커스/마술,어바웃 매직(aboutmagic) 
"마술극장, 매직카바레쇼",서커스/마술,송도 건원테크노큐브 
701호,연극,우리소극장 [대학로] 
100번째 리뷰,연극,효천아트센터 그라운드씬 
폭풍우 치는 밤에,뮤지컬,효천아트센터 그라운드씬 
반짝반짝 신데렐라,뮤지컬,달밤엔씨어터 
알라딘,뮤지컬,샤롯데씨어터 
점프 JUMP,뮤지컬,명보아트홀 
Special GIG,대중음악,entry55 [성수] 
The entry to Jazz,대중음악,entry55 [성수] 
은밀한 연애,연극,시윤아트홀 
맥주 한잔 하실래요?,연극,더더더 
슈퍼거북 슈퍼토끼,뮤지컬,신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어) 
로마人 이야기 with Classic,서양음악(클래식),롯데월드 
런던 레코드,뮤지컬,엠스테이지 (구.인사아트홀) 
런투패밀리,연극,나인진홀 (구.청년극장) 
아기돼지삼형제: 늑대숲 또옹돼지 원정대,뮤지컬,라온씨어터 
마법의정원 샌드아트 체험전: 빛과 모래의 합창,서커스/마술,마법의정원 [화성] 
어린이 마술쇼,서커스/마술,매직앤조이 [광교] 
페인터즈,뮤지컬,NH아트홀 
더퍼포머 키즈매직쇼,서커스/마술,더퍼포머 마술극장 
남사친 여사친,연극,세우아트센터 
쉬어매드니스,연극,콘텐츠박스(구. 르메이에르 씨어터) 
연애박사: 마법의 사랑솔루션,서커스/마술,연애상담소 
크리미널 시즌4,연극,봄날아트홀 (구. 아리랑소극장) 
연남동 빙굴빙굴 빨래방,뮤지컬,후암씨어터(콘텐츠룸) 
조각: 사라진 기억,연극,댕로홀 
2호선 세입자,연극,바탕골소극장 
비누향기,연극,서연아트홀 (구. 인아소극장) 
내일은 내일에게,연극,초록씨어터 
두잇아카펠라 금토공연,대중음악,두잇아카펠라 Abar 
옹알스,뮤지컬,세우아트센터 
페인터즈,뮤지컬,경향아트힐 
썸데이,뮤지컬,대학로 무하아트센터 
뱀프 X 헌터: 울부짖어라! 피닉스 포포!!,뮤지컬,JS아트홀 (구. 고스트씨어터 구.다소니씨어터) 
난타,뮤지컬,제주난타극장 
불편한 편의점,연극,올웨이즈 씨어터(구.아티스탄홀) 
난타,뮤지컬,홍대난타극장(구. 뮤직쇼웨딩 전용관) 
사내연애 보고서,연극,제나아트홀 (구. 룸씨어터) 
피노키오야 노올자~!,뮤지컬,서연아트홀 (구. 인아소극장) 
죽어야 사는 남자,연극,업스테이지 (UP Stage) 
난타,뮤지컬,명동난타극장 
오백에 삼십,연극,JTN 아트홀(구. 대학로예술마당) 
"더 맨 얼라이브, 초이스",뮤지컬,더 서울라이티움 (갤러리아포레) 
사춘기메들리,연극,아라아트홀 
딜리버리,연극,아라아트홀 
나의PS파트너,연극,마루아트홀 
마술체험전-매직박스,서커스/마술,루시드아트홀 
인사이드 미,뮤지컬,JTN 아트홀(구. 대학로예술마당) 
찰나,서커스/마술,어바웃 매직(aboutmagic) 
어린이 마술쇼 3,서커스/마술,월드컵타운(구. 미리내 마술극단 [인천]) 
반짝반짝 백설공주,뮤지컬,달밤엔씨어터 
어린이 마술쇼,서커스/마술,미리내 마술극단 [송도] 
"여수월드, 여수서커스",서커스/마술,여수월드서커스 
천로역정,뮤지컬,명륜아트홀 
사랑에 빠지기까지 D-100 (사빠디),연극,"아루또소극장 (구. 소담소극장, 구. 코메디컬센터) "
다온마술쇼,서커스/마술,오대호 아트팩토리 
미래상상마술쇼,서커스/마술,파랑새극장(구. 샘터파랑새극장) 
죽여주는 이야기,연극,지인시어터(구. 알과핵소극장) 
크리미널 시즌5,연극,봄날아트홀 (구. 아리랑소극장) 
최신혁의 IMAGINE,서커스/마술,문엔트리 
고두영의 키즈 매직쇼,서커스/마술,더퍼포머 씨어터(라스플로레스) 
요리하는 마술사,서커스/마술,부천소극장 
요리하는 마술사,서커스/마술,별빛극장 [남양주] 
Piano Trio Concert,대중음악,entry55 [사당] 
오마이갓,연극,오마이갓 전용관 
핫식스,연극,도토리씨어터 
너의 목소리가 들려,연극,도토리씨어터 
영재한음 (국악) 회,한국음악(국악),남산골한옥마을 
Special GIG,대중음악,entry55 [사당] 
햇님이 달님이,뮤지컬,소극장 쇠내골 
김종욱 찾기,뮤지컬,브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관]) 
The entry to JAZZ,대중음악,entry55 [사당] 
1미터마술공연,서커스/마술,1미터마술 
로멘틱 홀리데이 매직쇼,서커스/마술,문엔트리 
아기돼지야 준비해!,뮤지컬,소극장 쇠내골 
늘근도둑이야기,연극,아트포레스트 아트홀 
VIP 매직쇼,서커스/마술,문엔트리 
스위치,연극,아스가르드 씨어터 (구. 낙산씨어터) 
행오버,연극,"정극장 (구. M시어터, 구.하모니아트홀) "
스크루테이프의 편지,뮤지컬,북촌나래홀 
반짝반짝 인어공주,뮤지컬,달밤엔씨어터 
프리즌,뮤지컬,에이치씨어터 
운빨로맨스,연극,컬쳐씨어터(구. 휴먼시어터) 
빌의 구둣방,뮤지컬,소극장 쇠내골 
한뼘사이,연극,라온아트홀 
연극라면,연극,해피씨어터 
자취,연극,댕로홀 
해녀의 부엌: 해녀이야기,연극,해녀의부엌 
끝까지 간다,연극,북극곰소극장(구.아뮤스소극장) 
북극곰 예술여행,연극,북극곰소극장(구.아뮤스소극장) 
요리하는 마술사,서커스/마술,맛있는 극장 
빨간모자야 조심해!,뮤지컬,소극장 쇠내골 
택시안에서,연극,해바라기소극장 [부산] 
택시안에서,연극,해바라기소극장 (구. 훈아트홀) 
뷰티풀라이프,연극,JTN 아트홀(구. 대학로예술마당) 
시간을 파는 상점,연극,"파랑씨어터 (구. 도향아트홀, 구. 뮤디스홀) "
옥탑방 고양이,연극,틴틴홀 
